Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,10645,10645-24MAR2023,2023-03-24,2023-03-21,-3,-0.009040334,-0.015383344
Market Model,10645,10645-24MAR2023,2023-03-24,2023-03-22,-2,-0.007017544,0.0012832848
Market Model,10645,10645-24MAR2023,2023-03-24,2023-03-23,-1,0.006360424,0.0058205448
Market Model,10645,10645-24MAR2023,2023-03-24,2023-03-24,0,0.0287921348,0.0271188315
Market Model,10645,10645-24MAR2023,2023-03-24,2023-03-27,1,-0.009556314,-0.010413552
Market Model,10645,10645-24MAR2023,2023-03-24,2023-03-28,2,0.0106822881,0.0118652135
Market Model,10645,10645-24MAR2023,2023-03-24,2023-03-29,3,0.0051142175,-0.000775423
Market Model,10890,10890-01JUN2012,2012-06-01,2012-05-29,-3,0.0243753809,0.011613091
Market Model,10890,10890-01JUN2012,2012-06-01,2012-05-30,-2,-0.0594884,-0.042752966
Market Model,10890,10890-01JUN2012,2012-06-01,2012-05-31,-1,-0.006325111,-0.003497349
Market Model,10890,10890-01JUN2012,2012-06-01,2012-06-01,0,-0.052832591,-0.02342323
Market Model,10890,10890-01JUN2012,2012-06-01,2012-06-04,1,-0.025537634,-0.024728728
Market Model,10890,10890-01JUN2012,2012-06-01,2012-06-05,2,0.0372413793,0.0298627044
Market Model,10890,10890-01JUN2012,2012-06-01,2012-06-06,3,0.0425531915,0.0167804987
Market Model,10890,10890-14MAY2018,2018-05-14,2018-05-09,-3,0.0042016807,-0.006119865
Market Model,10890,10890-14MAY2018,2018-05-14,2018-05-10,-2,0,-0.009832001
Market Model,10890,10890-14MAY2018,2018-05-14,2018-05-11,-1,0.0041841004,0.0008140957
Market Model,10890,10890-14MAY2018,2018-05-14,2018-05-14,0,-0.020833333,-0.022832612
Market Model,10890,10890-14MAY2018,2018-05-14,2018-05-15,1,0.0042553191,0.0081305827
Market Model,10890,10890-14MAY2018,2018-05-14,2018-05-16,2,-0.008474576,-0.014879761
Market Model,10890,10890-14MAY2018,2018-05-14,2018-05-17,3,0.0170940171,0.0154863749
Market Model,10909,10909-01NOV2019,2019-11-01,2019-10-29,-3,0.0053731343,0.0040720012
Market Model,10909,10909-01NOV2019,2019-11-01,2019-10-30,-2,0.0109857482,0.006849534
Market Model,10909,10909-01NOV2019,2019-11-01,2019-10-31,-1,-0.014390602,-0.013963027
Market Model,10909,10909-01NOV2019,2019-11-01,2019-11-01,0,0.0061084625,-0.003490469
Market Model,10909,10909-01NOV2019,2019-11-01,2019-11-04,1,-0.001036576,-0.005933422
Market Model,10909,10909-01NOV2019,2019-11-01,2019-11-05,2,-0.0037059,-0.005698516
