WARN#,Company Name,City,State,Layoff Date,Laid Off,Layoff Type,Received Date
8671,Portland - Site,Portland,OR,01/31/2024,62,Permanent closure,12/01/2023
8652,Yelloh -  Central Point,Central Point,OR,12/15/2023,6,Permanent closure,10/25/2023
8652,Yelloh - Eugene,Eugen,OR,12/15/2023,8,Permanent closure,10/25/2023
8652,Yelloh - Salem,Salem,OR,12/15/2023,7,Permanent closure,10/25/2023
8652,Yelloh - Tualitin,Tualitin,OR,12/15/2023,11,Permanent closure,10/25/2023
8648,Peace Health,Eugene,OR,12/20/2023,463,Permanent closure,10/19/2023
8647,Wilsonville Distribution Center,Wilsonville,OR,01/03/2024,136,Permanent closure,10/18/2023
8637,Grace,Albany,OR,06/30/2024,23,Permanent closure,10/01/2023
8637,Grace,Albany,OR,03/31/2024,11,Permanent closure,10/01/2023
8637,Grace,Albany,OR,12/31/2023,61,Permanent closure,10/01/2023
8634,T3281 Store,Portland,OR,12/30/2023,40,Permanent closure,09/26/2023
8633,T3358 Store,Portland,OR,12/30/2023,56,Permanent closure,09/26/2023
8632,T3381 Store,Portland,OR,12/30/2023,62,Permanent closure,09/26/2023
8627,"American Nursery Services, Inc.",Newberg,OR,12/31/2023,25,Permanent closure,09/05/2023
8622,"Divvy Homes, Inc",San Francisco,CA,11/07/2023,94,Reduction,09/07/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,04/05/2024,2,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,01/26/2024,2,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,01/12/2024,62,Large Layoff - 10 or more workers,08/22/2023
8617,Bennett St. - Hillsboro,Hillsboro,OR,01/12/2024,3,Reduction,08/22/2023
8617,Bennett St. - Hillsboro,Hillsboro,OR,12/29/2023,2,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,12/29/2023,3,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,12/01/2023,1,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,11/17/2023,1,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,10/20/2023,158,Large Layoff - 10 or more workers,08/22/2023
8617,Bennett St. - Hillsboro,Hillsboro,OR,10/20/2023,71,Large Layoff - 10 or more workers,08/22/2023
8612,BOISE CASCADE ELGIN PLYWOOD MILL,ELGIN,OR,10/14/2023,1,Other,08/16/2023
8609,Centerra,Herndon,VA,09/30/2023,52,Permanent closure,08/10/2023
8606,Cascades Tissue Group - St Helens Paper,St. Helens,OR,10/14/2023,72,Permanent closure,08/10/2023
8603,Medford Plant,Medford,OR,12/23/2023,18,Permanent closure,07/28/2023
8603,Medford Plant,Medford,OR,09/23/2023,56,Permanent closure,07/28/2023
8598,Roseburg-509,Roseburg,OR,07/30/2023,72,Permanent closure,07/30/2023
8598,Eugene-506,Eugene,OR,06/30/2023,15,Permanent closure,07/30/2023
8596,DC-25 Portland Distribution Center,Portland,OR,11/03/2023,23,Large Layoff - 10 or more workers,07/31/2023
8596,DC-25 Portland Distribution Center,Portland,OR,10/06/2023,78,Large Layoff - 10 or more workers,07/31/2023
8583,"PBS West, LLC",Corvallis,OR,09/06/2023,50,Large Layoff - 10 or more workers,07/07/2023
8578,"Jacksonville, Remote Employee Location",Jacksonville,OR,06/14/2023,1,Large Layoff - 10 or more workers,06/14/2023
8577,Owens-Brockway Glass Container Inc.,Portland,OR,07/21/2023,81,Reduction,06/13/2023
8574,Marquis Spas,Independence,OR,09/01/2023,115,Permanent closure,06/08/2023
8572,Aimbridge Employee Service Corp AKA Val,Eugene,OR,06/29/2023,62,Large Layoff - 10 or more workers,06/06/2023
8563,Aspiration Partners,Marina Del Rey,CA,06/30/2023,3,Large Layoff - 10 or more workers,05/24/2023
8556,Cascades Tissue Group - St Helens Paper,St. Helens,OR,07/08/2023,45,Large Layoff - 10 or more workers,05/09/2023
8551,"Makita U.S.A., Inc.",Portland,OR,06/28/2023,6,Permanent closure,04/28/2023
8545,Cascades Tissue Group - Scappoose Conve,Scappoose,OR,07/28/2023,88,Permanent closure,04/25/2023
8543,"David's Bridal, Store # 160, Beaverton",Beaverton,OR,07/17/2023,1,Permanent closure,04/14/2023
8543,"David's Bridal, Store # 200, Clackamas",Happy Valley,OR,07/17/2023,1,Permanent closure,04/14/2023
8543,"David's Bridal, Store # 216, Eugene",Eugene,OR,07/17/2023,1,Permanent closure,04/14/2023
8543,"David's Bridal, Store # 263 Medford",Medford,OR,07/17/2023,1,Permanent closure,04/14/2023
8543,"David's Bridal, Store # 292 Salem",Keizer,OR,07/17/2023,1,Permanent closure,04/14/2023
8534,"Aspiration Partners, Inc",Marina Del Rey,CA,05/26/2023,12,Large Layoff - 10 or more workers,03/24/2023
8533,Client Facility,Beaverton,OR,05/31/2023,150,Permanent closure,03/13/2023
8521,Blount Fine Foods,Portland,OR,05/12/2023,198,Permanent closure,03/13/2023
8512,Walmart Store #2552,Portland,OR,06/02/2023,379,Permanent closure,02/22/2023
8510,Walmart Store #5899,Portland,OR,06/02/2023,201,Permanent closure,02/22/2023
8482,Railcar Manufacturing Operations,Portland,OR,03/21/2023,101,Large Layoff - 10 or more workers,01/20/2023
8475,Specialized Bicycle Components,Morgan Hill,CA,01/13/2023,7,Reduction,01/11/2023
