WARN#,Company Name,City,State,Layoff Date,Laid Off,Layoff Type,Received Date
8068,PERFORMANT,Grants Pass,OR,03/01/2021,31,Reduction,02/26/2021
7583,Southwest Airlines,Portland,OR,03/15/2021,85,Large Layoff - 10 or more workers,12/03/2020
7578,Villasport,Beaverton,OR,01/18/2021,66,Reduction,11/25/2020
7510,Providence,Portland,OR,01/15/2021,5,Reduction,11/16/2020
7401,SYUFY Enterprises - VillaSport,Beaverton,OR,12/21/2020,59,Reduction,10/23/2020
7332,DoubleTree - Hilton Portland,Portland,OR,09/30/2020,59,Reduction,09/30/2020
7241,SP+,Portland,OR,03/24/2020,89,Reduction,09/25/2020
7215,LAGS Medical Center - Salem,Salem,OR,11/02/2020,4,Small Layoff  1 – 10 workers,09/03/2020
7215,LAGS Medical Center - Portland,Portland,OR,11/02/2020,7,Small Layoff  1 – 10 workers,09/03/2020
7211,Bon Appetit,Portland,OR,09/30/2020,170,Reduction,09/01/2020
7209,Dave & Buster's,Happy Valley,OR,11/08/2020,84,Reduction,09/08/2020
7199,LAIKA,Hillsboro,OR,09/01/2020,50,Large Layoff - 10 or more workers,08/14/2020
7192,HMSHost,Portland,OR,10/15/2020,51,Reduction,08/11/2020
7186,Nike (Lifeworks) - Beaverton,Beaverton,OR,10/20/2020,66,Reduction,07/20/2020
7186,Nike (Lifeworks) - Hillsboro,Hillsboro,OR,09/25/2020,23,Reduction,07/20/2020
7186,Nike (Lifeworks) - Beaverton,Beaverton,OR,09/25/2020,355,Reduction,07/20/2020
7185,Alaska Airlines - Portland Internationa,Portland,OR,10/01/2020,277,Reduction,07/29/2020
7184,Embassy Suites Portland-Downtown,Portland,OR,03/20/2020,70,Large Layoff - 10 or more workers,07/31/2020
7171,"LSG Group - Sky Chefs, Inc",Portland,OR,10/01/2020,193,Large Layoff - 10 or more workers,07/31/2020
7162,Nike,Beaverton,OR,10/01/2020,308,Reduction,07/23/2020
7162,Nike - Childcare,Beaverton,OR,10/01/2020,192,Reduction,07/23/2020
7162,Nike,Beaverton,OR,07/23/2020,700,Reduction,07/23/2020
7151,American Queen Steamboat Company,New Albany,IN,09/24/2020,250,Large Layoff - 10 or more workers,07/22/2020
7071,United - PDX,Portland,OR,10/01/2020,119,Reduction,07/08/2020
7071,United - PDX,Portland,OR,10/01/2020,3,Reduction,07/08/2020
7070,arauco - Albany,Albany,OR,07/06/2020,75,Reduction,07/06/2020
7057,Hampton Inn & Suites - Portland,Portland,OR,06/30/2020,41,Reduction,07/06/2020
6987,Levy Premium Foodservice...LLC,Portland,OR,08/01/2020,54,Reduction,06/24/2020
6967,Hyatt Regency - Portland,Portland,OR,11/01/2020,1,Reduction,06/19/2020
6967,Hyatt Regency - Portland,Portland,OR,10/30/2020,4,Reduction,06/19/2020
6964,The Bay Company - Portland,Tigard,OR,04/15/2020,289,Large Layoff - 10 or more workers,06/09/2020
6963,Kimpton Hotel Monaco Portland,Portland,OR,03/13/2020,147,Large Layoff - 10 or more workers,06/12/2020
6963,Kimpton Riverplace Hotel,Portland,OR,03/13/2020,79,Large Layoff - 10 or more workers,06/12/2020
6963,Kimpton Hotel Vintage Portland,Portland,OR,03/01/2020,94,Large Layoff - 10 or more workers,06/12/2020
6935,ATI Albany Operations,Albany,OR,10/26/2020,135,Large Layoff - 10 or more workers,06/10/2020
6903,PCC Structurals - Portland,Portland,OR,07/24/2020,94,Reduction,06/04/2020
6903,PCC Structurals - Clackamas,Clackamas,OR,04/15/2020,170,Reduction,06/04/2020
6903,PCC Structurals - Portland,Portland,OR,04/15/2020,547,Reduction,06/04/2020
6903,PCC Structurals - Redmond,Redmond,OR,04/13/2020,175,Large Layoff - 10 or more workers,06/04/2020
6874,EVRAZ - Portland,Portland,OR,06/08/2020,65,Reduction,06/08/2020
6867,Marriott Portland Downtown Waterfront,Portland,OR,11/06/2020,145,Reduction,06/05/2020
6847,Benson Hotel,Portland,OR,06/01/2020,81,Reduction,06/01/2020
6551,Bright Wood,Madras,OR,03/23/2020,199,Large Layoff - 10 or more workers,05/04/2020
6551,Bright Wood - Redmond,Redmond,OR,03/23/2020,12,Large Layoff - 10 or more workers,05/04/2020
6469,IVI Hotel Management of Oregon - Innven,Tukwila,WA,03/20/2020,350,Reduction,04/29/2020
6465,Portland Art Museum,Portland,OR,07/01/2020,96,Reduction,04/28/2020
6462,Hertz,Estero,FL,06/18/2020,1,Reduction,04/24/2020
6462,Hertz - PDX,Portland,OR,04/14/2020,67,Large Layoff - 10 or more workers,04/24/2020
6352,Meggitt - Oregon Inc,Mcminnville,OR,05/18/2020,118,Large Layoff - 10 or more workers,04/30/2020
6271,Adventist Health - Tillamook,Tillamook,OR,12/31/2020,7,Reduction,04/23/2020
6271,Adventist Health - Tillamook,Tillamook,OR,05/05/2020,2,Reduction,04/23/2020
6183,Enterprise Holdings - PDX,Portland,OR,04/30/2020,18,Reduction,04/23/2020
6183,Enterprise Holdings,Tualatin,OR,04/30/2020,14,Reduction,04/23/2020
6064,Oksenholt Hospitality Company - Meredit,Lincoln City,OR,03/19/2020,94,Large Layoff - 10 or more workers,04/20/2020
6064,Oksenholt Hospitality Company - Mojo Re,Bend,OR,03/18/2020,2,Large Layoff - 10 or more workers,04/20/2020
6064,Oksenholt Hospitality - Meredith Lodgin,Bend,OR,03/17/2020,15,Large Layoff - 10 or more workers,04/20/2020
5587,The Portland Clinic,Portland,OR,06/01/2020,101,Reduction,04/14/2020
4956,Multnomah Athletic Club,Portland,OR,05/01/2020,635,Large Layoff - 10 or more workers,04/06/2020
4762,Phoenix Inn Suites,Salem,OR,03/27/2020,15,Reduction,04/08/2020
4762,Phoenix Inn Suites - Albany,Albany,OR,03/27/2020,13,Reduction,04/08/2020
4762,Phoenix Inn Suites - Lake Oswego,Lake Oswego,OR,03/27/2020,12,Reduction,04/08/2020
4762,Phoenix Inn Suites - Eugene,Eugene,OR,03/27/2020,21,Reduction,04/08/2020
4762,The Grand Hotel in Salem,Salem,OR,03/27/2020,26,Reduction,04/08/2020
4762,The Salem Convention Center,Salem,OR,03/27/2020,72,Reduction,04/08/2020
4762,Bentley's Grill,Salem,OR,03/27/2020,40,Reduction,04/08/2020
4762,The Grand Hotel at Bridgeport,Tigard,OR,03/27/2020,28,Reduction,04/08/2020
4388,EVRAZ - Portland,Portland,OR,04/06/2020,232,Reduction,04/06/2020
4323,Benihana,Beaverton,OR,03/17/2020,57,Reduction,04/02/2020
4198,RLK Co. Timberline Lodge,Government Camp,OR,03/23/2020,471,Reduction,04/01/2020
4073,SAGE,Portland,OR,06/19/2020,226,Large Layoff - 10 or more workers,03/30/2020
3961,Ahern Rentals,Portland,OR,03/30/2020,1,Reduction,03/28/2020
3682,Deschutes Brewery - HQ,Bend,OR,03/19/2020,89,Reduction,03/25/2020
3470,Beaverton Toyota,Beaverton,OR,03/26/2020,78,Reduction,03/26/2020
2770,Tualatin Hills Park & Recreation Distri,Beaverton,OR,05/23/2020,23,Reduction,03/23/2020
2770,Tualatin Hills Park & Recreation Distri,Beaverton,OR,03/31/2020,30,Reduction,03/23/2020
2770,Tualatin Hills Park & Recreation Distri,Beaverton,OR,03/23/2020,762,Large Layoff - 10 or more workers,03/23/2020
2753,Salon DeLange,Eugene,OR,03/19/2020,14,Large Layoff - 10 or more workers,03/19/2020
2675,Powell's City of Books,Portland,OR,03/19/2020,389,Large Layoff - 10 or more workers,03/19/2020
2612,"TBS, Inc - Portland",Portland,OR,07/31/2020,30,Reduction,02/14/2020
2599,moovel North America,Portland,OR,04/01/2020,22,Large Layoff - 10 or more workers,01/16/2020
2599,moovel North America,Portland,OR,02/03/2020,47,Large Layoff - 10 or more workers,01/16/2020
2562,NortonLifeLock Inc - Springfield,Springfield,OR,07/01/2020,7,Reduction,11/19/2019
2562,NortonLifeLock Inc - Springfield,Springfield,OR,04/24/2020,2,Reduction,11/19/2019
2562,NortonLifeLock Inc - Springfield,Springfield,OR,03/18/2020,33,Reduction,11/19/2019
2562,NortonLifeLock Inc - Springfield,Springfield,OR,02/14/2020,1,Reduction,11/19/2019
2562,NortonLifeLock Inc - Springfield,Springfield,OR,02/13/2020,3,Reduction,11/19/2019
2562,NortonLifeLock Inc - Springfield,Springfield,OR,01/17/2020,46,Reduction,11/19/2019
2555,NORPAC FOODS - Salem Repack,Salem,OR,01/12/2020,458,Large Layoff - 10 or more workers,11/13/2019
2547,Owens-Brockway Glass Container Inc. - P,Portland,OR,12/30/2019,93,Reduction,10/29/2019
2544,Oakwood Portland,Portland,OR,12/30/2019,1,Reduction,10/29/2019
2538,"Sightbox, Inc.",Portland,OR,03/20/2020,7,Reduction,10/28/2019
2538,"Sightbox, Inc.",Portland,OR,12/27/2019,50,Reduction,10/28/2019
2535,Pacifica Beauty,Portland,OR,01/01/2020,75,Large Layoff - 10 or more workers,10/22/2019
2534,"McAfee, LLC",Hillsboro,OR,12/31/2019,107,Reduction,10/17/2019
2515,Schenker Inc,Chesapeake,VA,12/04/2019,220,Large Layoff - 10 or more workers,09/24/2019
2494,Symantec Corporation - Springfield,Springfield,OR,10/15/2019,24,Reduction,08/20/2019
2494,Symantec Corporation - Springfield,Springfield,OR,09/25/2019,5,Reduction,08/20/2019
2430,Union Pacific,Portland,OR,05/21/2019,195,Reduction,05/21/2019
2280,Acara Solutions dba Superior Talent Res,Tualatin,OR,06/14/2018,112,Reduction,06/13/2018
2264,BOISE CASCADE ELGIN SAWMILL,Elgin,OR,07/15/2018,90,Large Layoff - 10 or more workers,05/16/2018
2245,Vectrus Corporation - Hillsboro,Hillsboro,OR,04/26/2018,54,Large Layoff - 10 or more workers,02/21/2018
2238,Adventist Medical Center,Portland,OR,04/01/2018,157,Large Layoff - 10 or more workers,01/19/2018
2216,Symantec Corporation,Springfield,OR,10/03/2018,2,Large Layoff - 10 or more workers,11/29/2017
2216,Symantec Corporation,Springfield,OR,09/01/2018,1,Large Layoff - 10 or more workers,11/29/2017
2216,Symantec Corporation,Springfield,OR,07/27/2018,6,Large Layoff - 10 or more workers,11/29/2017
2216,Symantec Corporation,Springfield,OR,07/13/2018,2,Large Layoff - 10 or more workers,11/29/2017
2216,Symantec Corporation,Springfield,OR,06/29/2018,90,Large Layoff - 10 or more workers,11/29/2017
2216,Symantec Corporation,Springfield,OR,04/25/2018,29,Large Layoff - 10 or more workers,11/29/2017
2216,Symantec Corporation,Springfield,OR,03/30/2018,1,Large Layoff - 10 or more workers,11/29/2017
2216,Symantec Corporation,Springfield,OR,01/26/2018,2,Large Layoff - 10 or more workers,11/29/2017
2216,Symantec Corporation,Springfield,OR,01/17/2018,64,Large Layoff - 10 or more workers,11/29/2017
2211,"SureID, Inc - dba. Fortior Solutions",Hillsboro,OR,11/08/2017,25,Large Layoff - 10 or more workers,11/07/2017
2210,Microsoft - Wilsonville Facility,Wilsonville,OR,03/23/2018,7,Large Layoff - 10 or more workers,11/06/2017
2210,Microsoft - Wilsonville Facility,Wilsonville,OR,01/22/2018,8,Large Layoff - 10 or more workers,11/06/2017
2210,Microsoft - Wilsonville Facility,Wilsonville,OR,12/05/2017,6,Large Layoff - 10 or more workers,11/06/2017
2210,Microsoft - Wilsonville Facility,Wilsonville,OR,11/06/2017,50,Large Layoff - 10 or more workers,11/06/2017
2209,jive,Portland,OR,12/31/2017,18,Large Layoff - 10 or more workers,11/01/2017
2182,Pacific Crest Transformers,Medford,OR,11/13/2017,110,Large Layoff - 10 or more workers,09/14/2017
2171,Nike,Beaverton,OR,09/30/2017,490,Large Layoff - 10 or more workers,08/31/2017
2171,Nike,Beaverton,OR,07/31/2017,255,Large Layoff - 10 or more workers,08/31/2017
2158,Asurion,Klamath Falls,OR,09/17/2017,53,Large Layoff - 10 or more workers,07/18/2017
2147,Western Graphics & Data/Travel Tags Inc,Portland,OR,03/28/2018,1,Large Layoff - 10 or more workers,07/11/2017
2147,Western Graphics & Data/Travel Tags Inc,Portland,OR,01/26/2018,4,Large Layoff - 10 or more workers,07/11/2017
2147,Western Graphics & Data/Travel Tags Inc,Portland,OR,12/29/2017,6,Large Layoff - 10 or more workers,07/11/2017
2147,Western Graphics & Data/Travel Tags Inc,Portland,OR,12/15/2017,7,Large Layoff - 10 or more workers,07/11/2017
2147,Western Graphics & Data/Travel Tags Inc,Portland,OR,12/01/2017,49,Large Layoff - 10 or more workers,07/11/2017
2147,Western Graphics & Data/Travel Tags Inc,Portland,OR,10/06/2017,12,Large Layoff - 10 or more workers,07/11/2017
2144,Microsoft Wilsonville OR Facility,Wilsonville,OR,09/08/2017,61,Large Layoff - 10 or more workers,07/10/2017
2124,SureID,Hillsboro,OR,08/14/2017,79,Large Layoff - 10 or more workers,06/19/2017
2124,SureID,Hillsboro,OR,06/26/2017,17,Large Layoff - 10 or more workers,06/19/2017
