"uid","permno","CAR_1_Day_Window","CAR_10_Day_Window","CAR_3_Day_Window","CAR_5_Day_Window"
"13379-13DEC2023",13379,-0.024464263,-0.1170790075,-0.053354297,-0.0764198762
"13407-11NOV2022",13407,0.0301840699,0.0751899691,0.104883515,0.1498573408
"13407-16NOV2022",13407,-0.0150114027,0.1829265242,-0.0059044881,0.0897338096
"13407-26JUN2023",13407,-0.0080861048,-0.0933736909,-0.0571616626,-0.0747559545
"13452-28JUN2015",13452,-0.078042073,-0.1261282904,-0.1061081691,-0.1816832054
"13527-06JAN2022",13527,-0.0463925699,-0.0406509158,-0.1045581847,-0.0972411938
"13543-18DEC2014",13543,-0.0057358291,0.0673522019,-0.0017480345,0.0178003791
"13548-24APR2020",13548,0.1157504793,0.3999456801,0.4205987142,0.2744026248
"13548-27APR2020",13548,0.182670883,0.2446817276,0.3280024279,0.154392368
"13586-07NOV2017",13586,-0.0011767045,-0.0324125819,-0.0135736816,-0.0256261164
"13586-30AUG2022",13586,-0.0085227557,-0.019739739,-0.023988038,-0.0059812068
"13599-08MAR2019",13599,-0.0111462953,-0.1953330619,-0.0622364627,-0.0405569063
"13599-11MAR2019",13599,-0.0051469174,-0.1372287292,-0.0428966793,-0.0794130479
"13604-01FEB2020",13604,-0.0759459618,-0.0844453425,-0.0625351082,-0.0907417903
"13604-01FEB2024",13604,-0.028843943,-0.1499641095,-0.0445523563,-0.1834209728
"13604-19JAN2023",13604,-0.0145154923,-0.000641950000000005,-0.0445620759,-0.05630096
"13604-26JUL2019",13604,0.0205718863,-0.2360160769,-0.1544740124,-0.1939707519
"13628-15FEB2023",13628,0.0067256365,0.060562898,-0.0134682009,0.0308416359
"13643-01JUL2023",13643,-0.0391738604,-0.0512172926,-0.0121736422,-0.0961797927
"13643-30OCT2020",13643,-0.001098950705,0.1992112156,-0.000650218199999998,-0.0312977171
"13656-17OCT2019",13656,-0.0052296588,-0.2020766563,-0.0343023139,-0.1795898984
"13656-18JAN2017",13656,0.0386552362,-0.2275800791,-0.0134384574,-0.1295274252
"13687-08OCT2017",13687,-0.0388174128,-0.0799764348,-0.0318815517,0.0159688016
"13721-01JUL2021",13721,0.0186306097,0.0141396912,0.025889572,0.0050571439
"13721-14SEP2022",13721,0.0118559545,0.0595429412,0.0110353855,0.0094374562
"13788-01JUN2015",13788,0.0078299106,0.043124605,0.0081511243,0.0203412433
"13818-05JAN2017",13818,-0.01973299,-0.013842103,-0.0319836791,-0.0300121256
"13856-21AUG2020",13856,-0.0047297352,0.0003235294,-0.0214779897,-0.0272653613
"13856-25FEB2014",13856,0.0034597267,0.0103398014,0.0284073758,0.0234973376
"13856-28OCT2024",13856,-0.027674321,-0.0755272482,-0.051125011,-0.0587383659
"13856-29OCT2024",13856,-0.033264671,-0.0837850051,-0.045101891,-0.0445832773
"13863-07DEC2022",13863,0.0995117978,-0.1298919727,0.3034437134,0.152892211
"13911-12AUG2021",13911,-0.0067454624,0.0020000819,0.0207772204,0.0063241619
"13917-15NOV2023",13917,-0.005544778,-0.0364184692,-0.0366860438,-0.0197322047
"13928-01NOV2011",13928,0.0009927071,0.0017768421,-0.0240585913,-0.0054277882
"13928-01SEP2015",13928,0.0511043939,0.0622164216,0.0944773024,0.0808913951
"13928-30NOV2020",13928,-0.10732175,0.2237247911,-0.051743564,0.059999269
"13930-01AUG2014",13930,-0.0198326645197,0.0719130024,0.0661191797,0.0643697282
"13956-01MAR2019",13956,0.0289375084,0.2751474289,0.1357986757,0.1519680292
"13957-20OCT2018",13957,-0.0098320383,-0.0685404384,-0.0186268144,-0.0254046173
"13959-01AUG2024",13959,0.1213048685,0.2963256376,0.0908444046,-0.0407874937
"13967-01SEP2023",13967,-0.0308119544,-0.4453809474,0.0497787053,0.0168157049
"14008-10FEB2021",14008,0.003307046,-0.1002905825,-0.0107139841,-0.0316878143
"14008-17JUL2023",14008,0.0231598736,0.0766989123,0.0453162475,0.0771344471
"14008-17MAR2023",14008,-0.0092402428,0.000870894100000002,-0.0306773578,0.0378232345
"14008-28OCT2014",14008,0.0621095887,0.0736563547,0.0570091141,0.0808457063
"14055-24APR2017",14055,0.0014485238,-0.7233013526,0.00765185200000001,-0.226293282
"14072-31AUG2023",14072,-0.009573401,0.0343620577,-0.0371620126,0.0331405189
"14136-29NOV2022",14136,0.0249718092,0.1061911295,0.0903833484,0.0661298579
"14141-01MAR2022",14141,0.0480922085,0.110212912,0.1442040272,0.0919446413
"14141-16FEB2021",14141,-0.0369641505,-0.1500806513,-0.0607700541,-0.0364299249
"14141-21NOV2014",14141,-0.0163514051,-0.0653954019,-0.0193850715,-0.0283415951
"14141-30JUN2016",14141,0.0150243473,-0.0331456283,-0.0101659548,-0.015033643
"14144-23OCT2015",14144,-0.0129221718,-0.1061971337,-0.0060394616,-0.0784488652
"14169-11SEP2019",14169,0.0095705578,-0.1625077605,0.0288070781,0.0076415364
"14169-23MAR2020",14169,-0.0722055056,0.1957391065,-0.136306303,-0.0728102252
